Artist,Title,Youtube URL,Year,Album,START,END
009 Sound System,Dreamscape,https://www.youtube.com/watch?v=TKfS5zVfGBc,,,,
009 Sound System,Speak to Angels,https://www.youtube.com/watch?v=peMBrY1kbVA,,,0:00:00,0:11:10
30 Seconds to Mars,The Kill,https://www.youtube.com/watch?v=3c4_jTnsegM,2006,A Beautiful Lie,,
Aaron Hibell,Glued 2 Deep in Time,https://www.youtube.com/watch?v=1ABmhF6a6Lw,,,,
Aaron Hibell,You Look Lonely,https://www.youtube.com/watch?v=fJMYpl75tfM,,,,
Agua Bendita,Mithrandil,https://www.youtube.com/watch?v=8cU0bIGzUxc,,,,
Akira,Kaneda's Theme,https://www.youtube.com/watch?v=Nja0Obgg2gU,,,,
Alanis Morissette,Ironic,https://www.youtube.com/watch?v=Jne9t8sHpUc,1994,Jagged Little Pill,0:00:03,0:04:06
Alcest,Opale,https://www.youtube.com/watch?v=ADIEAW65H5o,2014,Shelter,,
Alex Beroza,Drive,https://www.youtube.com/watch?v=KMSubxEEYIk,,,,
AMORPHIS,On the Dark Waters,https://www.youtube.com/watch?v=T8aH5HVx_0c,,,,
Amorphis,My Kantele,https://www.youtube.com/watch?v=UufaC2TI7dg,,,0:00:02,0:05:40
Anathema,Untouchable,https://www.youtube.com/watch?v=e-JlhNRcbXU,2012,Weather Systems,,
Annie Lennox,Don't Let It Bring You Down,https://www.youtube.com/watch?v=6cIRzBPN_J0,,,,
Apocalyptica,Quutamo,https://www.youtube.com/watch?v=QVLEQeG8UoE,,,,
Apocalyptica,Prologue (Apprehension),https://www.youtube.com/watch?v=8xHJauhs9G4,,,0:00:00,0:03:08
Armin van Buuren feat. Sharon den Adel,In and Out of Love,https://www.youtube.com/watch?v=TxvpctgU_s8,,,0:00:05,0:03:08
Asgaroth,Absence Spells Beyond,https://www.youtube.com/watch?v=_jyuUV7C_yo,,,0:00:00,0:07:33
Aurora,Running with the Wolves,https://www.youtube.com/watch?v=06ht9MyJLT4,2015,Running with the Wolves,,
Aurora,Stjernestøv,https://www.youtube.com/watch?v=2MTWu0lNVF4,2020,Stjernestøv,,
Avoure,Aura,https://www.youtube.com/watch?v=5lLVCRmdmMg,,,0:03:20,0:07:30
B-Complex,Beautiful Lies VIP,https://www.youtube.com/watch?v=tzqw_Dqa0SU,,,,
Bag Raiders,Shooting Stars,https://www.youtube.com/watch?v=feA64wXhbjo,2002,,,
